"STATION_NAME","DATUM","cm_05","cm_10","cm_20","cm_50"
"Berlin",2016-11-12,1,2,3.2,6.3
"Berlin",2016-11-13,0.1,1.1,2.3,5.7
"Berlin",2016-11-14,-0.4,0.6,1.7,5.1
"Berlin",2016-11-15,0.3,1,1.8,4.7
"Berlin",2016-11-16,5.4,5.2,4.7,5.1
"Berlin",2016-11-17,6.8,6.7,6.4,6.3
"Berlin",2016-11-18,7.1,7.2,7.1,7
"Berlin",2016-11-19,4.7,5.2,5.7,7
"Berlin",2016-11-20,3.9,4.4,4.9,6.6
"Berlin",2016-11-21,5.2,5.5,5.7,6.6
"Berlin",2016-11-22,6,6.2,6.3,6.9
"Berlin",2016-11-23,5,5.5,5.9,6.9
"Berlin",2016-11-24,4.5,5.1,5.6,6.8
"Berlin",2016-11-25,3.1,3.7,4.4,6.4
"Berlin",2016-11-26,3.1,3.7,4.3,6.1
"Berlin",2016-11-27,3.1,3.8,4.3,5.9
"Berlin",2016-11-28,0.4,1.6,2.7,5.5
"Berlin",2016-11-29,-0.7,0.5,1.7,4.7
"Berlin",2016-11-30,-0.6,0.1,1.1,4.1
"Berlin",2016-12-01,3.5,3.3,3,4
"Berlin",2016-12-02,2.7,3.4,3.9,4.9
"Berlin",2016-12-03,0.4,1.2,2.2,4.5
"Berlin",2016-12-04,0.1,0.9,1.7,4
"Berlin",2016-12-05,0.1,0.8,1.5,3.7
"Berlin",2016-12-06,-0.1,0.6,1.2,3.5
"Berlin",2016-12-07,0.5,1.1,1.5,3.3
"Berlin",2016-12-08,2.6,2.7,2.7,3.5
"Berlin",2016-12-09,5,4.8,4.3,4.2
"Berlin",2016-12-10,6.6,6.4,5.9,5.1
"Berlin",2016-12-11,6.3,6.4,6.2,5.8
"Berlin",2016-12-12,3.9,4.7,5.2,5.9
"Berlin",2016-12-13,0.8,1.6,2.6,5.1
"Berlin",2016-12-14,3.4,3.6,3.7,4.7
"Berlin",2016-12-15,2.8,3.1,3.5,4.7
"Berlin",2016-12-16,0.6,1.4,2.3,4.5
"Berlin",2016-12-17,0,0.7,1.6,3.9
"Berlin",2016-12-18,2,2.2,2.3,3.6
"Berlin",2016-12-19,3.6,3.7,3.7,4.1
"Berlin",2016-12-20,1.6,2.2,2.8,4.3
"Berlin",2016-12-21,0.5,1.2,1.9,3.9
"Berlin",2016-12-22,-0.1,0.6,1.3,3.5
"Berlin",2016-12-23,1.6,1.9,2,3.3
"Berlin",2016-12-24,2.5,2.6,2.7,3.6
"Berlin",2016-12-25,5.2,4.8,4.3,4.1
"Berlin",2016-12-26,6.2,6.3,5.9,5.1
"Berlin",2016-12-27,4,4.2,4.4,5.2
"Berlin",2016-12-28,5.3,5.2,5,5.1
"Berlin",2016-12-29,3.8,4.3,4.7,5.3
"Berlin",2016-12-30,0.4,1.3,2.4,4.7
"Berlin",2016-12-31,-0.6,0.4,1.3,3.8
"Berlin",2017-01-01,-0.1,0.5,1.2,3.3
"Berlin",2017-01-02,0.4,1,1.5,3.2
"Berlin",2017-01-03,1.3,1.5,1.8,3.2
"Berlin",2017-01-04,1.7,2.1,2.4,3.4
"Berlin",2017-01-05,0.5,1,1.6,3.2
"Berlin",2017-01-06,-0.8,0.3,1,2.9
"Berlin",2017-01-07,-1.2,-0.2,0.5,2.5
"Berlin",2017-01-08,-0.4,-0.1,0.4,2.3
"Berlin",2017-01-09,-0.3,0,0.5,2.2
"Berlin",2017-01-10,-0.5,0,0.5,2.1
"Berlin",2017-01-11,-0.5,0,0.4,2.1
"Berlin",2017-01-12,-0.1,0,0.5,2
"Berlin",2017-01-13,-0.1,0.1,0.5,2
"Berlin",2017-01-14,0,0.3,0.6,1.9
"Berlin",2017-01-15,0.1,0.4,0.7,2
"Berlin",2017-01-16,0.1,0.4,0.8,2
"Berlin",2017-01-17,0.1,0.4,0.7,2
"Berlin",2017-01-18,0,0.4,0.7,1.9
"Berlin",2017-01-19,0.1,0.3,0.7,1.9
"Berlin",2017-01-20,0.1,0.4,0.7,1.9
"Berlin",2017-01-21,0.1,0.4,0.7,1.9
"Berlin",2017-01-22,0.1,0.4,0.7,1.8
"Berlin",2017-01-23,0,0.4,0.7,1.8
"Berlin",2017-01-24,0,0.3,0.6,1.8
"Berlin",2017-01-25,0.1,0.4,0.6,1.8
"Berlin",2017-01-26,0.1,0.4,0.6,1.7
"Berlin",2017-01-27,-0.2,0.2,0.6,1.7
"Berlin",2017-01-28,-1.4,-0.2,0.3,1.6
"Berlin",2017-01-29,-1.2,-0.5,0.1,1.5
"Berlin",2017-01-30,-0.6,-0.2,0.1,1.4
"Berlin",2017-01-31,-0.1,-0.1,0.1,1.3
"Berlin",2017-02-01,-0.1,-0.1,0.2,1.3
"Berlin",2017-02-02,-0.4,0,0.3,1.4
"Berlin",2017-02-03,-0.2,0,0.3,1.4
"Berlin",2017-02-04,-0.1,0,0.3,1.4
"Berlin",2017-02-05,-0.1,0.1,0.3,1.3
"Berlin",2017-02-06,-0.1,0.1,0.4,1.4
"Berlin",2017-02-07,-0.1,0.2,0.4,1.4
"Berlin",2017-02-08,-0.1,0.2,0.4,1.4
"Berlin",2017-02-09,-0.8,0,0.3,1.4
"Berlin",2017-02-10,-1.2,-0.4,0.1,1.3
"Berlin",2017-02-11,-0.9,-0.4,0,1.2
"Berlin",2017-02-12,-0.6,-0.3,0,1.2
"Berlin",2017-02-13,-1.5,-0.6,-0.1,1.1
"Berlin",2017-02-14,-1.8,-1,-0.2,1.1
"Berlin",2017-02-15,-1.1,-0.6,-0.2,1
"Berlin",2017-02-16,-0.5,-0.2,-0.1,1
"Berlin",2017-02-17,0.4,0,-0.1,1
"Berlin",2017-02-18,1.2,0.8,0.4,1.1
"Berlin",2017-02-19,2.5,2.4,1.9,1.6
"Berlin",2017-02-20,4.9,4.5,3.6,2.4
"Berlin",2017-02-21,5.7,5.7,5,3.3
"Berlin",2017-02-22,4.8,4.7,4.3,3.5
"Berlin",2017-02-23,4.7,4.6,4.4,3.8
"Berlin",2017-02-24,3.3,3.7,3.9,3.9
"Berlin",2017-02-25,2.2,2.4,2.5,3.3
"Berlin",2017-02-26,5.3,4.9,4.2,3.4
"Berlin",2017-02-27,6.3,6.1,5.5,4.2
"Berlin",2017-02-28,5.7,5.7,5.4,4.7
"Berlin",2017-03-01,4.5,4.8,4.8,4.7
"Berlin",2017-03-02,4.3,4.3,4.2,4.4
"Berlin",2017-03-03,5,5.1,4.8,4.4
"Berlin",2017-03-04,6.4,6.3,5.7,4.8
"Berlin",2017-03-05,6.6,6.5,6.2,5.4
"Berlin",2017-03-06,5.4,5.5,5.4,5.3
"Berlin",2017-03-07,4,4.3,4.7,5.2
"Berlin",2017-03-08,5.7,5.5,5,4.8
"Berlin",2017-03-09,7.3,7,6.4,5.3
"Berlin",2017-03-10,6.5,6.5,6.3,5.8
"Berlin",2017-03-11,5.6,5.8,5.8,5.7
"Berlin",2017-03-12,4,4.5,4.7,5.4
"Berlin",2017-03-13,4.2,4.4,4.4,5
"Berlin",2017-03-14,5.5,5.3,5,5.1
"Berlin",2017-03-15,8,7.9,7.2,5.7
"Berlin",2017-03-16,6.5,6.5,6.2,6
"Berlin",2017-03-17,5.4,5.6,5.7,5.9
"Berlin",2017-03-18,5.4,5.7,5.7,5.8
"Berlin",2017-03-19,4,4.1,4.4,5.4
"Berlin",2017-03-20,9.2,8.5,7.4,5.8
"Berlin",2017-03-21,9,8.9,8.3,6.8
"Berlin",2017-03-22,8.4,8.2,7.7,6.9
"Berlin",2017-03-23,7.1,7.2,7.2,7.1
"Berlin",2017-03-24,8,8,7.5,6.8
"Berlin",2017-03-25,6.7,7,7,7
"Berlin",2017-03-26,8,8,7.5,6.9
"Berlin",2017-03-27,9,8.9,8.2,7.3
"Berlin",2017-03-28,10.2,10,9.1,7.7
"Berlin",2017-03-29,9.1,9.1,8.8,8.1
"Berlin",2017-03-30,12,11.4,10.4,8.4
"Berlin",2017-03-31,12.8,12.3,11.2,9
"Berlin",2017-04-01,13.6,13.1,11.9,9.6
"Berlin",2017-04-02,12.8,12.8,12.2,10.2
"Berlin",2017-04-03,8.9,9.4,9.8,9.9
"Berlin",2017-04-04,9.8,9.6,9.3,9.2
"Berlin",2017-04-05,10.1,10.2,9.9,9.3
"Berlin",2017-04-06,9.6,9.7,9.3,9.1
"Berlin",2017-04-07,8.9,9,9,9.1
"Berlin",2017-04-08,11.4,11.1,10.2,9.1
"Berlin",2017-04-09,14.1,13.7,12.3,9.8
"Berlin",2017-04-10,12.4,12.4,11.9,10.5
"Berlin",2017-04-11,9.3,9.8,10,10.2
"Berlin",2017-04-12,9.9,9.9,9.7,9.7
"Berlin",2017-04-13,9.3,9.4,9.4,9.4
"Berlin",2017-04-14,9.2,9.2,9,9.1
"Berlin",2017-04-15,8.3,8.6,8.9,9.2
"Berlin",2017-04-16,7.9,8,8,8.7
"Berlin",2017-04-17,9.1,9,8.7,8.6
"Berlin",2017-04-18,7.6,8,8.3,8.7
"Berlin",2017-04-19,5.6,6.1,6.6,8.1
"Berlin",2017-04-20,6.5,6.5,6.5,7.6
"Berlin",2017-04-21,9.5,9,8.3,7.8
"Berlin",2017-04-22,9,9.1,9,8.5
"Berlin",2017-04-23,8.1,8.3,8.3,8.5
"Berlin",2017-04-24,9.3,9,8.5,8.3
"Berlin",2017-04-25,9.3,9.6,9.4,8.9
"Berlin",2017-04-26,9.6,9.5,9,8.7
"Berlin",2017-04-27,10.9,10.7,10,9
"Berlin",2017-04-28,9.5,9.7,9.6,9.3
"Berlin",2017-04-29,9.8,9.9,9.7,9.3
"Berlin",2017-04-30,11.8,11.3,10.3,9.2
"Berlin",2017-05-01,12.7,12.3,11.4,10
"Berlin",2017-05-02,10.4,10.7,10.8,10.3
"Berlin",2017-05-03,13.2,12.6,11.6,10.1
"Berlin",2017-05-04,10.2,10.5,10.7,10.5
"Berlin",2017-05-05,11.5,11.2,10.7,10
"Berlin",2017-05-06,13.4,12.9,12.1,10.4
"Berlin",2017-05-07,14.8,14.2,13.1,11
"Berlin",2017-05-08,9.9,10.6,11.3,11.3
"Berlin",2017-05-09,9.3,9.5,9.6,10.2
"Berlin",2017-05-10,10.9,10.7,10.3,10
"Berlin",2017-05-11,15,14.2,12.5,10.4
"Berlin",2017-05-12,17.9,17,15.2,11.8
"Berlin",2017-05-13,15.9,15.7,15.1,12.8
"Berlin",2017-05-14,16.6,16.1,15.1,12.9
"Berlin",2017-05-15,17.1,16.6,15.4,13.1
"Berlin",2017-05-16,16.5,16.1,15.3,13.4
"Berlin",2017-05-17,22,20.7,18.3,14
"Berlin",2017-05-18,22.8,21.8,19.8,15.3
"Berlin",2017-05-19,23.9,22.9,20.8,16.3
"Berlin",2017-05-20,20.7,20.6,19.9,16.9
"Berlin",2017-05-21,19.9,19.4,18.4,16.2
"Berlin",2017-05-22,20.4,19.8,18.7,16.1
"Berlin",2017-05-23,21.1,20.4,19.1,16.3
"Berlin",2017-05-24,14.9,15.7,16.3,16.1
"Berlin",2017-05-25,15.6,15.4,15.2,14.8
"Berlin",2017-05-26,18.2,17.5,16.5,14.7
"Berlin",2017-05-27,21.7,20.4,18.7,15.4
"Berlin",2017-05-28,23.3,22,20.3,16.5
"Berlin",2017-05-29,25.9,24.3,22.3,17.6
"Berlin",2017-05-30,23.6,22.8,21.7,18.4
"Berlin",2017-05-31,22.5,22,21,18.2
"Berlin",2017-06-01,21.8,21.1,20.3,17.9
"Berlin",2017-06-02,22.7,21.7,20.7,17.9
"Berlin",2017-06-03,18.7,19,18.9,17.9
"Berlin",2017-06-04,17.3,17.7,17.7,17
"Berlin",2017-06-05,18.9,18.4,17.6,16.4
"Berlin",2017-06-06,19.7,19.2,18.3,16.6
"Berlin",2017-06-07,17.6,17.5,17.4,16.6
"Berlin",2017-06-08,17.2,17,16.7,16.1
"Berlin",2017-06-09,20.9,19.8,18.6,16.2
"Berlin",2017-06-10,21.5,20.7,19.8,17.2
"Berlin",2017-06-11,24.2,22.9,21.4,17.9
"Berlin",2017-06-12,23.7,22.9,22.1,18.9
"Berlin",2017-06-13,19.3,19.5,19.6,18.5
"Berlin",2017-06-14,21.1,20.3,19.5,17.7
"Berlin",2017-06-15,23.6,22.2,21,18.2
"Berlin",2017-06-16,19.8,20.2,20.2,18.7
"Berlin",2017-06-17,19.5,19.3,18.6,17.6
"Berlin",2017-06-18,24.1,23.1,21.2,17.9
"Berlin",2017-06-19,27.3,26.1,23.9,19.2
"Berlin",2017-06-20,26.7,25.9,24.4,20.3
"Berlin",2017-06-21,25.7,25.1,23.9,20.4
"Berlin",2017-06-22,21.9,21.9,21.7,20.2
"Berlin",2017-06-23,20.4,20.3,20,19.2
"Berlin",2017-06-24,19.6,19.6,19.4,18.6
"Berlin",2017-06-25,19.7,19.5,19.2,18.3
"Berlin",2017-06-26,19,18.9,18.7,18
"Berlin",2017-06-27,19.4,19.1,18.5,17.7
"Berlin",2017-06-28,21.2,20.6,19.7,18
"Berlin",2017-06-29,19,19.1,19.2,18.6
"Berlin",2017-06-30,17.5,17.7,17.8,18.1
"Berlin",2017-07-01,17.6,17.6,17.5,17.6
"Berlin",2017-07-02,17.8,17.8,17.7,17.4
"Berlin",2017-07-03,19,18.5,17.9,17.2
"Berlin",2017-07-04,19,18.8,18.6,17.7
"Berlin",2017-07-05,18.6,18.5,18.2,17.7
"Berlin",2017-07-06,21,20.3,19.4,17.8
"Berlin",2017-07-07,21.2,20.7,20.2,18.5
"Berlin",2017-07-08,21,20.7,20.3,18.8
"Berlin",2017-07-09,20.9,20.6,20,18.7
"Berlin",2017-07-10,19.3,19.3,19.2,18.7
"Berlin",2017-07-11,21.5,21,20.2,18.6
"Berlin",2017-07-12,19.4,19.6,19.6,18.9
"Berlin",2017-07-13,17.7,17.8,17.9,18.2
"Berlin",2017-07-14,19.1,18.8,18.5,17.9
"Berlin",2017-07-15,19.4,19.1,18.8,18.1
"Berlin",2017-07-16,18.8,18.8,18.6,18.2
"Berlin",2017-07-17,20.8,20.3,19.7,18.3
"Berlin",2017-07-18,20.8,20.4,19.8,18.5
"Berlin",2017-07-19,22.4,21.8,20.9,19
"Berlin",2017-07-20,23.7,23.2,22.3,19.8
"Berlin",2017-07-21,23,22.7,22.1,20.1
"Berlin",2017-07-22,21.5,21.5,21.5,20.6
"Berlin",2017-07-23,21.7,21.6,21.3,20.3
"Berlin",2017-07-24,22,21.8,21.3,20.1
"Berlin",2017-07-25,18.7,19.1,19.4,19.9
"Berlin",2017-07-26,17.6,18,18.4,19.2
"Berlin",2017-07-27,19.6,19.4,18.9,18.6
"Berlin",2017-07-28,19.8,19.8,19.6,18.9
"Berlin",2017-07-29,20.6,20.5,19.9,19.1
"Berlin",2017-07-30,22.7,22.3,21.4,19.5
"Berlin",2017-07-31,23.8,23.5,22.5,20.2
"Berlin",2017-08-01,24.4,24.2,23.2,20.8
"Berlin",2017-08-02,23.8,23.7,23,21.1
"Berlin",2017-08-03,22.8,22.9,22.5,21.1
"Berlin",2017-08-04,22.5,22.4,21.9,20.8
"Berlin",2017-08-05,20,20.2,20.3,20.3
"Berlin",2017-08-06,20.4,20.4,20.1,19.7
"Berlin",2017-08-07,21.2,21,20.4,19.6
"Berlin",2017-08-08,22.4,21.9,21.2,20
"Berlin",2017-08-09,24.7,24.1,23,20.6
"Berlin",2017-08-10,23.3,23.3,22.7,21.1
"Berlin",2017-08-11,19.5,19.8,20.2,20.6
"Berlin",2017-08-12,17.8,18.1,18.6,19.5
